unique_count,SaleDateMonth,ownersplitcity
59,1," ANTIOCH"
59,1," ANTIOCH"
59,1," ANTIOCH"
59,1," ANTIOCH"
59,1," ANTIOCH"
59,1," ANTIOCH"
59,1," ANTIOCH"
59,1," ANTIOCH"
59,1," ANTIOCH"
59,1," ANTIOCH"
59,1," ANTIOCH"
59,1," ANTIOCH"
59,1," ANTIOCH"
59,1," ANTIOCH"
59,1," ANTIOCH"
59,1," ANTIOCH"
59,1," ANTIOCH"
59,1," ANTIOCH"
59,1," ANTIOCH"
59,1," ANTIOCH"
59,1," ANTIOCH"
59,1," ANTIOCH"
59,1," ANTIOCH"
59,1," ANTIOCH"
59,1," ANTIOCH"
59,1," ANTIOCH"
59,1," ANTIOCH"
59,1," ANTIOCH"
59,1," ANTIOCH"
59,1," ANTIOCH"
59,1," ANTIOCH"
59,1," ANTIOCH"
59,1," ANTIOCH"
59,1," ANTIOCH"
59,1," ANTIOCH"
59,1," ANTIOCH"
59,1," ANTIOCH"
59,1," ANTIOCH"
59,1," ANTIOCH"
59,1," ANTIOCH"
59,1," ANTIOCH"
59,1," ANTIOCH"
59,1," ANTIOCH"
59,1," ANTIOCH"
59,1," ANTIOCH"
59,1," ANTIOCH"
59,1," ANTIOCH"
59,1," ANTIOCH"
59,1," ANTIOCH"
59,1," ANTIOCH"
59,1," ANTIOCH"
59,1," ANTIOCH"
59,1," ANTIOCH"
59,1," ANTIOCH"
59,1," ANTIOCH"
59,1," ANTIOCH"
59,1," ANTIOCH"
59,1," ANTIOCH"
59,1," ANTIOCH"
11,1," BRENTWOOD"
11,1," BRENTWOOD"
11,1," BRENTWOOD"
11,1," BRENTWOOD"
11,1," BRENTWOOD"
11,1," BRENTWOOD"
11,1," BRENTWOOD"
11,1," BRENTWOOD"
11,1," BRENTWOOD"
11,1," BRENTWOOD"
11,1," BRENTWOOD"
32,1," GOODLETTSVILLE"
32,1," GOODLETTSVILLE"
32,1," GOODLETTSVILLE"
32,1," GOODLETTSVILLE"
